Name,Team,Country,Position,League,Shirt Number,Priority
Nico O'Reilly,Manchester City,ENG,CM / AM / LW / RW / LB,Premier League,33, 3
Kalvin Phillips,Manchester City,ENG,DM / CM,Premier League,44, 3
Phil Foden,Manchester City,ENG,AM / LW / RW / ST,Premier League,47, 1
Oscar Bobb,Manchester City,NOR,RW / ST,Premier League,52, 3
Omar Marmoush,Manchester City,EGY,ST / AM / LW / RW / SS,Premier League,7, 2
Erling Haaland,Manchester City,NOR,ST,Premier League,9, 1
Robert Sánchez,Chelsea,ESP,GK,Premier League,1, 2
Filip Jörgensen,Chelsea,DEN,GK,Premier League,12, 3
Gabriel Slonina,Chelsea,USA,GK,Premier League,44, 3
Marc Cucurella,Chelsea,ESP,LB,Premier League,3, 1
Tosin Adarabioyo,Chelsea,ENG,CB,Premier League,4, 3
Benoît Badiashile,Chelsea,FRA,CB,Premier League,5, 3
Levi Colwill,Chelsea,ENG,CB,Premier League,6, 3
Jorrel Hato,Chelsea,NED,LB,Premier League,21, 3
Trevoh Chalobah,Chelsea,ENG,CB,Premier League,23, 2
Reece James,Chelsea,ENG,RB,Premier League,24, 1
Malo Gusto,Chelsea,FRA,RB,Premier League,27, 2
Wesley Fofana,Chelsea,FRA,CB,Premier League,29, 2
Josh Acheampong,Chelsea,ENG,RB / CB,Premier League,34, 3
Enzo Fernández,Chelsea,ARG,CM / DM,Premier League,8, 1
Cole Palmer,Chelsea,ENG,AM / RW,Premier League,10, 1
Dário Essugo,Chelsea,POR,DM,Premier League,14, 3
Andrey Santos,Chelsea,BRA,CM,Premier League,17, 3
Moisés Caicedo,Chelsea,ECU,DM,Premier League,25, 1
Facundo Buonanotte,Chelsea,ARG,AM / RW,Premier League,40, 3
Roméo Lavia,Chelsea,BEL,DM,Premier League,45, 3
Reggie Walsh,Chelsea,ENG,CM,Premier League,46, 3
Pedro Neto,Chelsea,POR,RW / LW,Premier League,7, 1
Liam Delap,Chelsea,ENG,ST,Premier League,9, 2
Jamie Gittens,Chelsea,ENG,LW / RW,Premier League,11, 2
João Pedro,Chelsea,BRA,ST,Premier League,20, 2
Tyrique George,Chelsea,ENG,LW / RW,Premier League,32, 3
Marc Guiu,Chelsea,ESP,ST,Premier League,38, 3
Estêvão,Chelsea,BRA,RW,Premier League,41, 2
Alejandro Garnacho,Chelsea,ARG,LW / RW,Premier League,49, 1
Shim Mheuka,Chelsea,FRA,ST,Premier League,62, 3
Mykhailo Mudryk,Chelsea,UKR,LW,Premier League,10, 1
Alisson Becker,Liverpool,BRA,GK,Premier League,1, 1
Joe Gomez,Liverpool,ENG,DF,Premier League,2, 3
Wataru Endo,Liverpool,JPN,MF,Premier League,3, 2
Virgil van Dijk,Liverpool,NED,DF,Premier League,4, 1
Ibrahima Konaté,Liverpool,FRA,DF,Premier League,5, 1
Milos Kerkez,Liverpool,HUN,DF,Premier League,6, 2
Florian Wirtz,Liverpool,GER,MF,Premier League,7, 1
Dominik Szoboszlai,Liverpool,HUN,MF,Premier League,8, 1
Alexander Isak,Liverpool,SWE,FW,Premier League,9, 1
Alexis Mac Allister,Liverpool,ARG,MF,Premier League,10, 1
Mohamed Salah,Liverpool,EGY,FW,Premier League,11, 1
Conor Bradley,Liverpool,NIR,DF,Premier League,12, 2
Federico Chiesa,Liverpool,ITA,FW,Premier League,14, 1
Giovanni Leoni,Liverpool,ITA,DF,Premier League,15, 3
Curtis Jones,Liverpool,ENG,MF,Premier League,17, 2
Cody Gakpo,Liverpool,NED,FW,Premier League,18, 1
Hugo Ekitike,Liverpool,FRA,FW,Premier League,22, 1
Giorgi Mamardashvili,Liverpool,GEO,GK,Premier League,25, 1
Andy Robertson,Liverpool,SCO,DF,Premier League,26, 3
Freddie Woodman,Liverpool,ENG,GK,Premier League,28, 3
Jeremie Frimpong,Liverpool,NED,DF,Premier League,30, 2
Ryan Gravenberch,Liverpool,NED,MF,Premier League,38, 2
Harvey Elliott,Liverpool,ENG,MF,Premier League,19, 3
David Raya,Arsenal,ESP,GK,Premier League,1, 1
Kepa Arrizabalaga,Arsenal,ESP,GK,Premier League,13, 3
William Saliba,Arsenal,FRA,DF,Premier League,2, 1
Cristhian Mosquera,Arsenal,ESP,DF,Premier League,3, 3
Ben White,Arsenal,ENG,DF,Premier League,4, 3
Piero Hincapie,Arsenal,ECU,DF,Premier League,5, 2
Gabriel Magalhaes,Arsenal,BRA,DF,Premier League,6, 1
Jurrien Timber,Arsenal,NED,DF,Premier League,12, 2
Riccardo Calafiori,Arsenal,ITA,DF,Premier League,33, 2
Myles Lewis-Skelly,Arsenal,ENG,DF,Premier League,49, 2
Martin Odegaard,Arsenal,NOR,MF,Premier League,8, 1
Christian Norgaard,Arsenal,DEN,MF,Premier League,16, 3
Ethan Nwaneri,Arsenal,ENG,MF,Premier League,22, 3
Mikel Merino,Arsenal,ESP,MF,Premier League,23, 2
Martin Zubimendi,Arsenal,ESP,MF,Premier League,36, 2
Declan Rice,Arsenal,ENG,MF,Premier League,41, 1
